family	m1_bl	m1_bl_n	m1_ch	m1_ch_n	m1c1_bl	m1c1_bl_n	m1c1_ch	m1c1_ch_n	m1c2_bl	m1c2_bl_n	m1c2_ch	m1c2_ch_n	position
F098	11	19754	4	7021	8	22207	3	8691	335	18273	278	8747	2377
F098	2	13208	6	9078	2	15845	3	9985	631	12183	443	9708	4332
F113	351	8416	317	7338	6	6160	16	12028	393	5700	431	7820	14461
F117	4	7044	17	7979	5	11412	8	6895	41	7046	27	2078	3800
F117	111	8803	9	11070	2	14818	0	3673	0	1604	0	2231	8953
F117	0	6205	1	10722	1	12143	1	2737	49	8399	35	2564	11054
F117	58	6051	15	8769	9	17387	10	23778	62	3001	7	2264	12488
F117	47	3174	5	4644	1	10037	26	14640	0	6041	0	1562	13918
F117	275	4794	1757	6663	687	13089	1871	9977	2	4933	0	1537	16320
F133	1	5791	10	6331	103	4944	68	4416	5	7838	7	3286	3653
F133	401	14089	471	16300	0	13226	11	11572	7	19320	11	8924	10304
F133	0	15811	11	22409	5	12454	4	13494	2	14216	837	14810	11356
F133	19	14505	50	15092	19	10340	140	7042	26	12412	10	6499	12044
F154	1860	7769	1273	5479	1	6862	0	4334	7	4510	3	5131	709
F154	120	12838	188	9385	4	8506	0	8696	4	6394	3	7763	5692
F154	22	14172	6	8961	7	10929	14	10448	9	7936	145	10215	11385
F154	4	14049	3	8813	4	10818	1	10020	1	7892	188	10001	11416
F156	11	15018	13	7672	1006	17505	483	8922	12	11606	13	7765	13951
F157	832	6096	403	3193	1650	9875	1411	9105	902	5228	2025	10370	5107
F157	1	12030	11	9873	4	11546	9	6207	723	10837	2001	18657	16240
F159	236	16671	216	13767	2	6169	0	5262	2	12078	6	11945	3202
F159	155	2753	150	5884	6	8842	2	5630	0	1145	0	984	5105
F159	2	4275	3	6564	0	5813	0	2718	51	2249	25	1851	6379
F159	0	5309	5	9841	1	11320	0	4715	21	2018	25	2170	7306
F159	4	8813	10	6210	7	4085	0	745	79	5645	514	5864	16482
F162	1	2888	3	9777	1	3856	7	9711	223	15350	70	18312	16260
F163	19	17200	22	14501	13	19537	22	18381	198	17867	331	22549	1409
F163	20	4545	9	1842	0	3217	2	8006	1419	20022	742	11755	4464
F163	0	6274	3	3209	7	7076	2	6359	1404	15847	861	11730	8648
F163	4	16713	8	13728	9	17497	3	17764	3477	14314	5176	20841	12127
F163	646	11529	139	8401	4	12440	5	14018	8	13303	14	21447	16172
F163	5	11617	2	8996	337	13038	295	13980	5	10827	4	18915	16274
F173	0	2482	0	4270	0	6302	3	8469	115	10411	24	8191	143
F173	23	9464	18	9495	11	15203	18	13464	339	7267	283	6924	3243
F173	47	4620	180	4072	551	7310	774	7428	22	11525	21	12529	10873
F173	115	4890	6	18170	2	11680	5	21526	6	22643	7	18650	11825
F176	0	2408	1	922	45	5166	97	5672	2	1256	1	2059	545
F176	6	20651	17	15444	3	12173	8	21937	308	16904	21	20133	11362
F176	8	13157	3	5075	184	15928	188	17983	4	8243	0	9797	13327
F176	2	6777	2	2220	3	9238	4	11030	549	3773	520	3841	13790
F176	21	4534	10	1885	7	6786	11	7872	3	3156	67	6375	16223
F183	20	9273	318	5156	3	8588	117	10060	4	3725	22	7321	195
F183	3	6123	4	9195	2	6617	2	7771	3	7817	293	7564	3497
F183	1258	10087	2264	13855	530	10541	766	11455	19	12582	29	12120	10873
F183	814	24435	20	16382	64	20965	18	24950	25	10741	12	18201	16129
F187	1379	17983	620	10343	1	19563	2	9636	625	15682	368	10110	1806
F187	219	14702	291	9216	4	15992	1	8705	8	13245	2	10436	11778
F187	10	18148	5	10536	227	20120	78	9707	6	16355	3	10933	15812
F197	173	9778	13	2545	9	6237	2	5145	7	7662	1	8580	234
F197	35	17688	86	7094	4	10389	5	10288	8	16768	6	17069	9014
F197	4525	24047	666	4998	30	16610	96	12576	95	20100	53	20152	11440
F208	4	5139	4	2852	30	1946	149	1829	5	18039	0	6014	234
F210	9	6449	13	3093	136	8938	295	6611	1	4397	4	5912	195
F210	19	9964	21	6152	13	10680	27	12251	343	12243	466	11111	9983
F210	1134	13751	1220	13607	27	22049	27	12907	1547	9502	3948	22091	15262
F211	9	15583	2	9073	9	12394	3	8678	217	19288	52	6588	15072
F251	8	14258	7	12269	5958	14591	3916	9912	3	8081	2	12921	5054
F251	10	14020	2	8752	3	18847	3	5191	10	8733	102	9005	11190
F251	1	8209	1	4871	2	11542	136	4533	1	5093	0	4919	13652
F252	182	8735	1	6959	3	8027	0	6412	0	7851	1	6813	3299
F252	15	16459	11	15029	5	13845	8	9339	335	12483	140	7765	16172
F252	7	15184	2	13397	2	12601	1	8318	277	11317	153	6878	16301
F253	2	5668	4	3504	7	6705	107	3028	3	5283	1	5840	214
F253	7	11816	4	8853	232	13331	106	7358	6	10989	9	13629	13322
F253	5	16362	1	14000	143	17469	149	10398	4	15229	9	19587	15800
F253	1103	12459	378	10600	7	13676	3	7793	266	11870	171	14858	16172
F253	6	7897	9	6740	2	8740	4	4495	35	7613	135	9690	16390
F256	1000	12838	315	4881	21	16469	8	10944	10	11713	11	10434	9055
F256	8	19261	179	11663	23	22739	4	9448	9	18766	3	11401	11390
F257	1	12979	9	18415	8	15084	5	12266	306	10121	649	14473	5665
F257	7	13200	12	14006	224	17058	74	8307	3	10582	4	7165	16243
F258	5	8722	19	11572	13	12951	23	18014	142	13195	128	19455	9973
F258	11	8120	9	11256	7	12914	10	17739	13	13249	600	20040	10267
F258	6	5152	11	9337	142	8686	68	9820	15	8496	7	9247	11052
F260	1	5107	9	3705	11	2830	34	3149	6	4868	3	4735	183
F260	59	4981	63	3660	2	2859	8	3149	12	4906	11	4732	200
F260	13	12173	209	13902	5	6500	15	14780	10	15737	11	10998	3971
F260	5905	15013	7244	16906	3083	8065	7431	17828	5818	18514	3868	13344	6891
F265	4	17545	3	17167	4	13960	2	13038	106	17905	105	9694	11474
F265	3352	19376	2605	16532	1804	15292	1904	14220	11	20770	4	10830	15201
F274	8	7979	257	2625	0	4435	3	3330	174	999	882	1353	214
F274	51	27064	26	7730	40	17375	16	10723	3	2397	77	4892	1888
F274	2	4825	205	4041	0	4271	2	4124	5	5103	1	2562	3436
F274	15	17176	3	4622	20	13791	3	9231	0	5259	49	3587	11251
F274	13	19665	3	4889	34	14641	7	10032	7	2304	42	3849	11719
F274	3	22083	0	5116	2	14059	133	9373	4	2309	2	4508	12183
F274	186	23874	131	5549	440	15721	6	9306	0	2421	11	4417	12488
F274	6	24590	1	5763	8	16682	10	10014	129	2659	86	4847	12681
F274	17	19731	4	4764	27	13905	9	8470	1	2165	50	4083	14905
F274	13	19914	0	5311	8	14205	9	7930	38	1979	16	4007	16172
F274	955	19800	325	5331	1	14278	6	7992	1	2001	3	3982	16223
F274	33	16727	15	4414	17	12260	8	6834	101	1733	207	3373	16296
F281	9	4636	0	2806	111	5059	29	4657	3	5377	4	4785	207
F281	9	4701	49	2878	3	5174	4	4770	7	5456	3	4890	208
F281	491	10727	169	5930	2	7860	6	13270	7571	11073	6604	9436	6125
F281	1325	3927	817	2634	2	4365	6	4002	4311	4707	3948	4197	16318
F285	4	11439	1	5319	260	8625	370	11996	2	11686	0	7961	1483
F285	9	16506	10	10283	157	11473	108	10005	9	11719	12	12915	4330
F285	1	9318	6	5890	6	7182	3	10644	3	8202	157	8098	11429
F285	3	9807	4	6228	7	7459	203	11275	29	8902	8	8560	11467
F292	0	12357	1	11236	7	13953	0	14082	321	11875	514	12266	850
F292	4	8168	7	10144	9	10167	13	10936	170	13675	148	9960	11101
F292	2	8078	9	8268	6	10182	10	10261	88	9566	146	9895	14452
F293	0	6756	0	3111	0	10624	2	6655	155	8818	90	4935	9682
F296	57	9186	15	1146	17	4858	2	1652	7	7137	2	2596	153
F296	11	21968	0	3421	2	11831	133	10681	6	17047	5	8731	11436
F298	137	12026	24	16064	19	13733	17	17593	9	11794	17	16339	9881
F298	9	14308	8	13235	2	14450	5	16914	1077	9891	1436	12607	14906
F298	41	13630	223	11647	5	13938	5	14788	6	9550	4	11210	15317
F298	18	16268	2	13435	306	16525	69	17648	10	11705	39	14221	16126
F300	5	3178	2	945	9	2957	7	3471	35	3003	19	922	131
F300	338	11322	8	8176	5	11016	4	10469	0	9841	2	7740	1418
F304	7	17110	10	7903	10	11400	301	7792	10	11223	5	5733	2318
F304	2	7503	128	4815	6	5491	61	3566	3	4568	70	2833	3211
F305	9	9356	14	9662	14	10929	13	8645	78	7169	29	5982	4690
F305	211	8859	88	8926	5	10742	8	7259	2	6543	3	5177	8860
F306	0	3767	50	5486	2	3119	38	4453	0	3402	63	3320	3211
F306	10	7974	175	7964	7	6576	7	7523	4	8426	3	4245	11672
F308	112	12534	193	13007	6	14109	1	11496	4	13696	6	13229	12213
F310	8	11094	4	7283	2	7757	8	7380	152	27765	145	13508	14290
F310	2	13558	2	9440	1	10232	4	8698	583	21062	263	12737	16357
F311	0	1885	0	4829	300	11911	67	9593	0	2366	2	4111	10320
F311	0	4908	2	10116	142	13165	154	13359	0	5202	2	7589	13315
F313	66	6328	281	11573	16179	33471	9862	20295	0	5345	1	13299	1211
F313	1	7851	9	11657	309	35581	245	21440	4	9527	8	16639	15923
F317	123	13803	170	9521	3	10875	3	16598	2	11453	5	16415	1374
F317	278	8637	134	6399	2	6267	0	11032	1	6696	3	10669	13105
F319	12	19545	26	17505	288	24512	197	25742	2	11294	0	2886	15923
F319	8	16333	14	15084	15	23870	24	24522	115	9768	2	2649	16090
F321	1	1539	5	1631	170	1928	104	1339	0	1653	2	1011	493
F321	2	6469	2	8900	1	7453	1	6213	154	6388	138	5051	13345
F321	2	4407	2	6047	506	5130	374	4508	1	3846	1	3439	14258
F321	0	9159	1	11737	2	10464	2	8259	161	8639	183	6535	15667
F321	34	9195	140	13766	55	10592	124	9822	2	8852	4	7677	15831
F323	181	13808	103	14344	5	28046	1	21339	0	21278	8	23803	1407
F323	2	5766	5	6293	321	19586	320	15849	2	10566	4	11166	12949
F323	199	15359	297	14235	196	29997	284	23260	33	20711	47	25321	16092
F324	1740	8502	619	2783	2	6209	12	10507	2	5821	0	5964	8854
F324	10	4439	82	4640	1	3468	3	7694	2	4300	11	6505	16390
F327	54	5223	340	3901	7	5460	9	5709	8	5925	15	11434	195
F327	36	20930	38	13129	791	19020	570	13428	5	5707	20	7391	3183
F327	352	13146	279	8835	1	9560	1	6621	20	16126	6	12324	9196
F327	1061	13362	1362	15087	2830	12763	3678	18818	8417	14333	14687	23928	11635
F327	9	16813	21	15490	790	18912	919	17531	9	20043	17	29578	15948
F333	4	2491	195	5348	2	6614	2	3711	1	3953	1	1096	214
F333	0	5689	2	10014	644	11702	261	5496	1	7682	0	7539	4191
F333	8	6224	11	12369	4	12707	163	10149	5	8557	1	2191	11043
F334	2489	16603	1133	6232	204	18990	87	7269	11	23490	18	8914	9179
F334	15	14906	345	17939	32	19265	39	17917	22	14686	14	9092	12193
F342	6	4385	6	9938	8	9136	4	9751	85	7367	57	4605	4856
F342	1	4822	4	10466	354	10099	280	10505	0	7839	2	5120	4934
F342	28	5909	152	7579	264	13025	290	14551	4696	8376	4212	7656	16111
F342	26	4279	20	5460	17	9935	14	9274	45	6490	69	5637	16235
F343	1790	12916	3379	10225	3998	8220	3726	5729	8453	14130	4009	5857	3243
F343	2626	3280	1959	3110	4632	10491	2614	8187	1154	3229	443	1726	5539
F344	0	2377	0	249	0	1151	0	1521	26	2197	19	1286	450
F344	533	21609	339	8990	6	13270	32	20667	4	12563	4	9152	1391
F344	179	16945	38	5209	45	9345	100	18386	6	9188	14	13891	16235
F351	19	1368	57	2441	12	3693	8	969	6	5581	7	1992	200
F351	8	5280	25	8445	14	10509	25	9624	252	16227	120	8322	1555
F351	232	6705	73	8583	5	9900	6	9074	7	17434	6	9583	1778
F351	2	2951	1	4595	5	9962	6	8551	83	4879	26	2457	5181
F351	67	5697	33	9256	5	11451	1	7861	5	10294	0	3684	7221
F351	7	4704	12	7386	152	7789	3052	15034	18	14971	17	8899	15567
FE	14	12402	6	12874	0	26146	71	3070	1	15644	1	34848	11467
FE	2	6706	1	1598	6	12977	6	14251	133	8924	176	7158	13708
FK	2	11247	0	2003	7	12247	4	13437	89	9205	83	4742	4314
FK	4	4682	23	1926	4	4764	8	13903	14	9545	4	4197	6683
