family	g1_bl	g1_bl_n	g1_ch	g1_ch_n	g1m1_bl	g1m1_bl_n	g1m1_ch	g1m1_ch_n	g1m1c1_bl	g1m1c1_bl_n	g1m1c1_ch	g1m1c1_ch_n	g1m1c2_bl	g1m1c2_bl_n	g1m1c2_ch	g1m1c2_ch_n	g1m1c3_bl	g1m1c3_bl_n	g1m1c3_ch	g1m1c3_ch_n	position
F291	18	3650	73	7353	10	1527	48	4646	2	749	6	4024	8	6345	12	5539	9	3696	8	4248	146
F291	37	3916	212	7514	13	1610	113	4867	1	808	45	4143	20	6642	35	5658	8	3843	14	4498	153
F291	0	2800	4	4591	0	2906	3	3556	1	1441	2	2761	86	3976	59	3130	2	2469	3	3154	529
F291	3	10334	6	22567	6	18116	6	19009	2	9620	5	17283	260	19226	12	14565	1	10409	6	15385	2435
F291	1106	12187	29	6798	17	15785	11	9850	9	8092	10	7443	6	11423	11	10553	9	6840	11	10682	4067
F291	7	10340	10	5534	23	19652	10	8081	144	11049	211	6097	12	9261	14	8740	3	5331	11	8525	5311
F291	9	11680	3	6008	22	15414	8	9450	9	8998	11	7818	11	10007	13	9762	390	5793	775	10712	8848
F291	3	8899	3	4631	5	12195	5	8173	4	6774	0	6499	2	8198	5	7829	83	4466	163	8549	9548
F291	2	6974	4	14445	1	11250	2	11374	4	6807	4	10465	190	12352	81	9381	1	6424	0	8692	13093
F291	1868	5973	323	10925	247	8403	14	8362	3	4655	8	8359	5	9983	8	7930	1	5125	7	7841	16126
