family	m1_bl	m1_bl_n	m1_ch	m1_ch_n	m1c1_bl	m1c1_bl_n	m1c1_ch	m1c1_ch_n	m1c2_bl	m1c2_bl_n	m1c2_ch	m1c2_ch_n	m1c3_bl	m1c3_bl_n	m1c3_ch	m1c3_ch_n	position
F131	9	11231	7	11308	4	12345	8	7185	0	7325	8	11093	6	11247	168	8523	11418
F131	10	11722	11	9883	14	11603	7	7978	3	7226	19	11636	9	11476	127	8671	11637
F131	5	12805	14	8487	6	12730	20	9216	9	8426	14	11361	553	12914	268	7914	12674
F142	1359	22932	788	14626	12	17601	24	15185	2776	13942	2754	12646	4620	23721	3315	15406	1585
F142	4	21195	2	14697	4	15059	2	10374	1	10057	3	12386	6	22984	296	16658	11219
F166	0	4468	0	2124	0	2740	3	2642	4	13003	4	6402	39	5350	29	2020	295
F166	7	14611	5	9384	8	10133	6	9019	10	25670	4	12071	144	10307	24	3380	786
F166	6	17283	1	14852	172	11417	2	12677	14	37307	5	22318	2	16137	0	5863	1747
F166	329	18913	34	14945	7	12850	3	14789	7	35294	5	20725	2	16231	1	5564	16150
F167	143	1413	681	2880	3	3598	18	4781	1	3231	2	2070	924	6995	608	5682	596
F167	16	1370	22	3772	1	4143	1	1471	4	8395	1	11311	7	10694	6	10885	8584
F167	5	2884	3	6471	173	7345	34	2494	7	8953	11	11905	8	11394	8	11367	8784
F167	8	8710	14	8114	3	9253	117	8180	4	5942	6	8029	10	10199	9	8218	11012
F167	71	7083	155	11539	379	13847	304	19167	0	2967	0	3603	5	15747	4	18524	11881
F167	19	1562	75	4499	2	3246	0	7104	3	7919	0	7996	3	13652	2	12754	13571
F181	5187	20853	3641	15758	7821	17177	7475	16580	453	15958	374	9989	418	20157	412	18425	1193
F181	10	23067	6	16841	3	19275	6	17775	225	18125	131	12242	9	22313	11	20571	1642
F181	870	25533	508	18364	27	20851	28	19892	21	20079	8	14174	431	24200	487	22623	2064
F181	776	18919	346	11085	23	16600	10	19765	157	17687	127	8681	13	17943	18	18855	10411
F186	13	5817	5	10351	1	8227	1	8016	1002	10652	358	8714	5	7964	2	8840	198
F186	491	15748	567	21579	5	20608	13	18365	20	23830	6	19829	691	24886	539	19602	1948
F186	4	13410	22	15537	158	11987	164	13017	21	19922	8	13350	17	17550	7	12610	4502
F186	101	9116	305	13875	1	8060	1	10812	7	14423	4	9721	8	13780	3	10438	8304
F191	8	12245	12	10890	9	10236	18	11821	364	29370	165	14812	6	16646	10	13814	14128
F192	156	10976	250	17350	237	18174	145	11237	231	14408	361	21454	131	10568	177	14619	5746
F192	6	15407	11	17483	1238	18517	852	15181	9	16359	11	18210	5	11256	9	16582	13224
F192	4	16073	6	18053	217	19503	146	15875	3	17232	9	19198	3	11905	6	17532	13345
F192	2	10922	18	14657	13	13808	11	11018	111	11703	220	15226	4	7344	15	13563	14344
F192	2376	20131	273	23332	4398	24552	219	17165	5694	21081	907	24458	17	13555	27	21674	16129
F194	0	691	3	3084	1	1839	1	1414	2	14507	4	4676	1904	2909	2762	2948	234
F194	160	2628	714	8666	561	3402	1162	6203	6328	28126	1836	10602	6	19315	12	12790	6152
F196	5	10945	3	1193	1	16789	3	7109	1	6693	1	4623	184	3585	49	351	214
F196	3	16780	1	1842	7	29010	4	16508	1	10195	5	12836	187	12559	10	1183	6791
F196	5455	18544	1243	4050	9311	32020	3337	12080	1842	9588	1272	6848	2	6382	0	760	14573
F196	5887	25600	1364	5698	6638	36469	3061	17017	1600	12995	1277	9162	3213	9731	365	1206	15047
F200	6	1360	14	1042	2	2119	10	3997	1	5398	9	2677	8	2491	0	2951	10
F200	226	4150	314	7231	0	4758	6	14291	7	25232	1	12459	0	10399	3	11851	926
F202	13	10650	6	7812	3	4577	4	8252	3	5079	11	13418	215	14029	144	17127	3242
