family	g1_bl	g1_bl_n	g1_ch	g1_ch_n	g1m1_bl	g1m1_bl_n	g1m1_ch	g1m1_ch_n	g1m1c1_bl	g1m1c1_bl_n	g1m1c1_ch	g1m1c1_ch_n	g1m1c2_bl	g1m1c2_bl_n	g1m1c2_ch	g1m1c2_ch_n	position
F105	148	16667	182	10262	4	19098	1	3553	1	11290	0	12546	3	16972	1	6170	1282
F105	10	13511	21	13327	9	16371	2	3984	9	12915	117	11171	13	14276	9	11035	4520
F105	6	8948	15	11438	9	13580	17	6345	2	7333	373	10130	11	11004	8	9473	11088
F105	3	9307	239	12585	9	14416	6	7642	8	7471	21	11530	8	11538	16	9893	11136
F105	167	15175	90	9456	5	20032	5	3460	2	10923	20	11748	2	16002	6	5833	15758
F140	31	8510	43	7786	385	16394	13	5756	28	13440	29	10355	28	16604	33	15721	2623
F140	2856	7071	3955	7403	6078	13983	2365	4518	5099	11578	3623	8230	7144	13792	6817	12614	12192
F140	2	7022	0	10360	554	13416	110	4273	0	10902	0	7459	821	12964	693	11824	12358
F140	213	8026	12	12578	3	14548	4	4863	0	11997	6	8010	3	14627	4	13363	12551
F140	0	3922	3	8178	62	9098	30	2193	0	6091	0	3721	1109	7330	923	6042	13842
F140	232	7094	41	11577	2	13374	3	4163	8	10184	8	6710	5	11909	16	11241	14841
F289	106	5445	13	3407	10	8474	18	8290	10	6548	6	5190	12	6335	13	8578	3003
F289	11	12070	7	10041	151	13799	13	1527	6	11622	28	14968	1	7558	10	10959	4487
F289	414	7155	18	6594	15	9275	5	1188	18	7796	20	9127	5	4517	14	7302	8477
F289	6	9394	2	4312	11	16689	21	15909	1	12704	169	10515	5	10114	15	13910	11973
F289	8	12737	1	5533	2	18366	14	17281	233	14675	205	8574	2	11593	16	15802	15785
F297	1	7851	7	12567	0	6945	8	11098	5	6773	0	10698	115	4796	413	13199	769
F297	749	16530	14	8831	0	8006	3	8120	0	8006	5	17238	1	5343	5	9679	5809
F297	229	12728	10	7825	2	6380	1	6814	4	6294	7	15329	0	4353	4	8233	9714
F297	122	6880	72	10275	2	6242	3	8934	3	5645	4	9300	1	4015	8	10395	13632
