family	m1_bl	m1_bl_n	m1_ch	m1_ch_n	m1c1_bl	m1c1_bl_n	m1c1_ch	m1c1_ch_n	m1c2_bl	m1c2_bl_n	m1c2_ch	m1c2_ch_n	m1c3_bl	m1c3_bl_n	m1c3_ch	m1c3_ch_n	m1c4_bl	m1c4_bl_n	m1c4_ch	m1c4_ch_n	m1c5_bl	m1c5_bl_n	m1c5_ch	m1c5_ch_n	position
F170	4	10405	13	7325	3	10489	8	7115	6	10819	2	9520	7	9292	3	3830	208	16461	73	3301	5	8070	3	2593	6351
F170	1	9954	8	12252	280	12676	167	9610	6	13724	3	9958	5	10039	3	4268	10	16700	4	3919	1	3777	1	4931	9101
F170	10	11253	0	14428	14	13282	1	10428	3	16149	7	14474	2	12458	8	5042	12	18047	2	4535	351	13463	46	3059	9907
F170	42	11480	33	4111	10	13391	3	10658	6	15349	3	13897	140	12489	90	5116	13	18289	1	4642	1	4866	3	1643	10197
F170	1	12505	2	4206	2	14929	2	11597	5	16254	1	14820	1	13207	3	5388	285	20294	114	5117	4	4987	0	1605	10256
F170	4	6626	52	19789	7	8843	4	7182	37	19573	16	12101	15	11678	9	8193	170	10677	73	6026	40	21231	28	16228	11167
F170	6	6921	16	21106	1	9065	3	7384	12	24148	6	15175	4	14694	169	11530	4	9985	8	8490	9	21259	16	18866	11308
F170	3	6206	20	14427	3	2879	2	2322	9	21267	7	15935	5	14923	13	11483	5	7833	16	8806	5	14662	1037	15047	11616
F170	285	6282	820	15222	24	3184	39	3067	2712	20651	1456	15120	3	14636	5	10479	0	7686	7	8319	2	15490	3	12217	11825
F170	3	6310	16	12094	8	10280	11	12145	12	20187	15	14532	14	13992	13	8735	4	7246	16	7775	3643	13030	3133	9117	12375
F170	3	5669	5	10016	1	11212	6	13189	9	20330	8	13405	5	13912	3	8546	157	7438	88	7707	0	9475	4	6221	12889
F170	24	3117	109	4476	3	6566	3	7825	1	12959	6	9413	1	8859	0	5385	1	4597	2	3840	0	5505	3	2945	13724
