family	m1_bl	m1_bl_n	m1_ch	m1_ch_n	m1c1_bl	m1c1_bl_n	m1c1_ch	m1c1_ch_n	m1c2_bl	m1c2_bl_n	m1c2_ch	m1c2_ch_n	m1c3_bl	m1c3_bl_n	m1c3_ch	m1c3_ch_n	m1c4_bl	m1c4_bl_n	m1c4_ch	m1c4_ch_n	position
F165	17	6142	286	6011	6	3659	4	5393	2	5024	11	6886	7	3671	4	4631	4	6768	6	4018	139
F165	15	9309	8	8966	4	6735	11	8107	13	8216	15	11083	175	5988	184	8244	20	10389	12	8308	680
F165	8	7052	6	7292	0	5216	6	6283	84	6257	31	8796	4	4124	5	5860	5	7886	2	6212	16311
F193	5591	11698	2214	5103	1807	9390	925	5494	1801	6904	1715	6327	7437	10236	4491	5802	2648	8114	1848	5688	5277
F193	43	20374	9	10130	6	17467	8	8946	12	11229	146	9126	14	15982	5	8558	2	13370	5	9210	11711
F193	47	17958	14	7186	43	15353	12	7383	24	10562	6	6628	20	13899	13	6681	151	11918	49	7725	13269
F193	3271	19063	1573	7440	4024	16434	1119	7689	8202	11048	5219	6892	2528	14734	1003	7088	1382	12696	735	8170	13359
F207	17	2576	58	8994	1	9921	0	13626	396	15932	399	18452	0	13953	0	5946	0	5220	1	9234	7307
F207	24	2687	98	11263	3	15058	7	14529	2	16523	9	25733	2	8111	0	5619	132	5933	171	7011	12610
F212	6	5197	2	4352	4	3486	5	3887	7	9222	0	2952	0	7162	0	3872	49	6091	45	3891	212
F212	4	7989	3	5335	0	4198	1	4729	855	12222	277	3415	2	10290	2	7321	1	9754	1	5794	3918
F212	15	8928	9	6721	3	4353	13	5379	136	13008	62	3937	15	11083	17	8709	14	10476	16	6896	4220
F212	4	10290	9	7826	5	5086	7	7108	100	15068	83	4936	6	12884	5	10774	8	12131	10	8987	6762
F212	7	12433	4	8158	2	7459	8	6201	13	18390	1	4372	13	14847	5	7029	11	14668	117	10188	11609
F212	3	15121	2	10106	2	8565	0	7025	792	20886	129	5021	4	17019	2	7323	4	15847	0	7702	15749
F212	2	13713	4	9201	1	7546	2	6452	3	18789	0	4809	7	15150	2	7218	162	13705	90	7452	15967
F234	0	7358	0	5708	3	6474	1	3576	0	9124	0	4418	2	5624	4	5306	62	2909	131	4278	235
F234	2	12642	1	7143	2	9463	7	7734	3	15948	8	20197	200	9995	196	19184	1	5261	4	6634	4703
F234	2	9939	0	6031	0	7573	16	3879	8	13285	132	5388	3	7409	81	6216	1	3625	5	4506	13652
F234	0	10803	0	6184	1	8793	0	3993	0	14227	0	5766	0	8633	2	6479	63	3655	150	4478	14233
F234	100	11330	18	6211	186	8845	28	4078	8	13232	6	5530	2	8734	6	6334	200	3875	160	4319	16362
F235	87	7378	364	5353	1244	5714	4556	6559	7	6719	4	4699	11	7209	10	4304	10	5385	5	3407	195
F235	235	18046	102	14018	3	17256	5	17318	8	16504	1	14468	6	18350	3	9853	2	15612	3	8261	1819
F235	13	14689	12	10800	18	13742	19	13237	12	13067	29	11537	15	14766	25	10052	19	12308	140	7197	11982
F235	16	15355	19	11084	12	14571	12	13965	14	13924	19	11794	246	15636	194	8457	8	13118	12	6859	12810
F235	5	14291	7	10827	1	13572	14	13550	13	12494	1	11579	5	14255	6	8051	217	12935	96	6792	15546
F235	5	16073	2	12284	447	15877	205	15506	2	14252	2	13634	3	15701	2	9212	8	15707	1	7811	16167
F283	10	5084	4	2131	3	3208	1	3370	24	1694	28	4777	5	5804	4	2591	1	3848	2	2349	146
F283	12	4802	85	2320	2	3136	3	3552	0	1883	1	5122	0	5436	0	2833	1	3526	1	2689	246
F283	5	8013	2	3340	1	5324	2	4841	1	2595	5	6833	13	9968	4	5477	139	6351	67	4454	716
F283	0	6254	4	7110	0	4511	0	5000	0	4744	0	6440	63	5914	0	4630	93	5565	149	4059	3239
F283	2	14495	3	9143	3	11554	0	13434	0	12193	1	17987	365	11793	414	11899	1	11912	5	12994	7556
F283	8	11502	8	6953	1	8978	13	9741	3	8256	6	12643	228	9756	91	8254	1	9252	6	8745	8392
F283	15	10689	22	6780	7	8353	22	9475	8	8071	37	12327	306	9095	305	8048	7	8722	19	8569	8426
F283	4	18006	7	20059	4	14297	4	14155	246	12801	430	18444	2	15619	2	12855	3	14777	3	13622	10181
F283	4	15058	115	8041	5	11067	4	8983	0	4464	6	13062	2	17310	9	9672	3	12319	3	8452	11940
F283	7	15006	1	6198	245	10757	111	8027	1	3986	6	11500	6	16516	0	8546	7	12174	5	7272	12257
F294	11	7938	13	8059	17	20984	9	9381	11	20211	15	22997	3	12647	2	14816	384	17965	389	20652	2702
F294	5	10229	9	6563	232	12755	102	10708	7	13493	6	18829	4	9658	2	11805	4	12030	2	11751	4395
F294	1	10143	3	5733	3	13878	1	11239	0	15455	2	21011	0	9083	4	11543	68	11930	289	10843	5693
F294	7	11582	1	3383	3	15522	3	12237	2	17122	6	17775	201	9665	361	12354	3	13290	4	11605	7372
F294	3	9160	1	3165	0	14086	1	10633	0	15997	3	16946	119	9930	109	10415	3	12316	3	11081	9109
F294	147	9165	27	25482	21	21886	2	8828	17	19588	6	16008	19	12095	9	15475	13	19390	18	21825	16129
F301	325	14618	40	14402	4	8213	4	12358	2	11719	4	14677	0	12701	0	16791	7	13381	8	13924	1606
F316	56	5361	28	6798	89	4106	2	7621	125	3448	90	5790	59	5692	9	3986	20	4674	7	5816	151
F316	2	9951	6	8760	3	8311	2	15903	2	5470	4	3778	273	9614	146	5755	0	8067	5	14387	7337
F316	2	9168	2	11140	1	8119	6	13650	124	5499	252	8675	10	10174	3	7760	2	8232	4	9942	13471
F316	8	6979	16	9445	3	5359	4	10360	4	4042	2	7217	2289	7134	1803	5821	2	5873	4	7407	14284
